PlatformNo,Platform number,Lat,Long,Tag,Top,Cash,,,
10948,Carlton Mill Rd near Hewitts Rd,-43.52193,172.62069,191,3,28,,,
10660,Carlton Mill Rd near Shrewsbury St,-43.52094,172.62375,951,25,90,,,
24949,Carmen Rd,-43.52955,172.53321,851,32,535,,,
32325,Carmen Rd near Halwyn Dr,-43.53256,172.53121,6073,274,827,,,
32048,Carmen Rd near Halwyn Dr,-43.53211,172.5318,2124,104,,,,
24688,Carmen Rd near Steadman Rd,-43.52884,172.53338,1955,124,613,,,
24851,Carmen Rd near Waterloo Rd,-43.53774,172.52827,1629,79,475,,,
24931,Carmen Rd near Waterloo Rd,-43.537,172.52893,639,26,,,,
23476,Cashmere,-43.58123,172.6355,4999,131,791,,,
23495,Cashmere,-43.58111,172.63562,1,0,,,,
11880,Cashmere Rd,-43.56694,172.63068,5170,149,1090,,,
11707,Cashmere Rd,-43.56691,172.63097,2646,73,,,,
33428,Cashmere Rd - Francis Res,-43.57521,172.60483,16,0,6,,,
11931,Cashmere Rd near Crichton Tce,-43.56773,172.62709,4311,64,1155,,,
11769,Cashmere Rd near Crichton Tce,-43.56787,172.62723,2767,43,,,,
11724,Cashmere Rd near Ferniehurst St,-43.57166,172.61842,1181,27,382,,,
11782,Cashmere Rd near Ferniehurst St,-43.57161,172.61829,364,7,,,,
33311,Cashmere Rd near Kaiwara St,-43.57449,172.61043,695,6,64,,,
33416,Cashmere Rd near Kaiwara St,-43.57458,172.61076,30,2,,,,
33330,Cashmere Rd near Mavin Rd,-43.57416,172.61365,246,7,28,,,
33437,Cashmere Rd near Mavin Rd,-43.57427,172.61367,66,0,,,,
33348,Cashmere Rd near Penruddock Rse,-43.57506,172.60502,133,0,30,,,
11004,Cashmere Rd near Thorrington Rd,-43.5666,172.63288,763,17,110,,,
11730,Cashmere Rd near Valley Rd,-43.56865,172.62449,16056,220,2523,,,
11711,Cashmere Rd near Valley Rd,-43.56877,172.62463,2312,48,,,,
26311,Caspian St near Rocking Horse Rd,-43.53859,172.74121,1986,86,260,,,
26382,Caspian St near Rocking Horse Rd,-43.53838,172.74148,16,1,,,,
51443,Caulfield Ave & Gosling Cres,-43.57861,172.54738,218,12,24,,,
53602,Caulfield Ave near Piper St,-43.5756,172.54618,5730,208,302,,,
53618,Caulfield Ave near Piper St,-43.57558,172.54604,3,1,,,,
40135,Cavendish Rd near Barnes Rd,-43.47375,172.60682,12,0,6,,,
40745,Cavendish Rd near Northcote Rd,-43.48368,172.60626,560,22,41,,,
19975,Cavendish Rd near Northcote Rd,-43.48366,172.60611,34,1,,,,
19999,Cavendish Rd near Sturrocks Rd,-43.47397,172.60695,673,33,72,,,
11043,Centaurus Rd near Austin Kirk Ln,-43.56527,172.64783,887,43,325,,,
11795,Centaurus Rd near Bowenvale Ave,-43.57056,172.64358,1856,40,231,,,
11748,Centaurus Rd near Landsdowne Tce,-43.57061,172.64106,759,14,170,,,
11688,Centaurus Rd near Major Aitken Dr,-43.57003,172.6444,886,29,86,,,
32838,Centaurus Rd near Ramahana Rd,-43.56281,172.65625,1783,51,366,,,
32654,Centaurus Rd near Ramahana Rd,-43.56296,172.65566,462,15,,,,
11805,Centaurus Rd near Sloan Tce,-43.57025,172.64013,524,7,64,,,
11619,Centaurus Rd near St Martins Rd,-43.56195,172.65048,4874,192,1077,,,
11851,Centaurus Rd near St Martins Rd,-43.56199,172.65031,635,24,,,,
11603,Centaurus Rd near Torvill & Dean Ln,-43.5694,172.63768,796,18,151,,,
11908,Centaurus Rd near Whaka Tce,-43.56791,172.64629,472,26,199,,,
11642,Centaurus Rd near Woodlau Rse,-43.56745,172.64684,1822,61,351,,,
43748,Central Park and Ride (White St),-43.3063,172.58633,11187,306,1307,,,
26751,Central Park and Ride (White St),-43.30669,172.58626,51,2,,,,
45099,Charlesworth St near Ti Rakau Dr,-43.55326,172.6967,1524,47,94,,,
45726,Charlesworth St near Ti Rakau Dr,-43.55352,172.6966,29,2,,,,
45925,Christchurch Gondola,-43.58478,172.70761,2838,67,4469,,,
51824,Christchurch Hospital Main Stop EB,-43.53524,172.62745,88484,1717,7534,,,
14704,Christchurch Hospital Main Stop WB,-43.5352,172.62671,105094,2183,7558,,,
47222,Christchurch International Airport,-43.48781,172.54141,36910,1434,24464,,,
38871,Church Corner,-43.53198,172.57312,28637,1154,,,,
38837,Church Corner,-43.53179,172.57259,25110,1486,7459,,,
38800,Church Corner,-43.53211,172.57108,49,1,,,,
37637,Clarence St near Burdale St,-43.53342,172.6025,1428,100,176,,,
47440,Clarence St near Dilworth St,-43.53208,172.6023,6002,229,1925,,,
11268,Clarence St near Lyndon St,-43.53553,172.60264,4692,187,602,,,
11460,Clarence St near Lyndon St,-43.53561,172.60285,1450,53,,,,
11949,Clarence St near Peverel St,-43.53127,172.60205,1963,80,311,,,
19831,Claridges Rd near Opal Pl,-43.47619,172.60078,1309,24,187,,,
19002,Claridges Rd near Opal Pl,-43.47599,172.6006,45,1,,,,
42596,Clifton Tce and Main Rd,-43.56564,172.75526,4061,76,954,,,
10850,Clyde Rd near Aorangi Rd,-43.50715,172.58789,48,0,9,,,
13135,Clyde Rd near Arts Rd,-43.5241,172.5884,3755,111,287,,,
13254,Clyde Rd near Arts Rd,-43.52388,172.5887,2041,48,,,,
10625,Clyde Rd near Evatt St,-43.50781,172.58873,702,26,183,,,
13093,Clyde Rd near Evatt St,-43.50855,172.58882,174,8,,,,
13375,Clyde Rd near Fendalton Rd,-43.51614,172.59083,1126,57,188,,,
13142,Clyde Rd near Fendalton Rd,-43.51757,172.59045,170,10,,,,
13072,Clyde Rd near Fendalton Rd,-43.51563,172.59074,130,3,,,,
38726,Clyde Rd near Hinau St,-43.52771,172.587,1156,31,99,,,
10641,Clyde Rd near Hooker Ave,-43.50497,172.58477,1158,55,407,,,
10813,Clyde Rd near Hooker Ave,-43.50503,172.5842,126,3,,,,
42842,Clyde Rd near Ilam Rd,-43.50959,172.58938,3079,219,585,,,
10591,Clyde Rd near Jeffreys Rd,-43.51345,172.59081,587,16,121,,,
10602,Clyde Rd near Jeffreys Rd,-43.51311,172.59053,78,3,,,,
10639,Clyde Rd near Morley St,-43.50562,172.58677,1114,56,307,,,
10832,Clyde Rd near Morley St,-43.50566,172.58667,105,10,,,,
